"species","totalPest_t3","totalPest_t4","neonics_t3","neonics_t4"
"fraternus",41.6795484519655,68.5156410901983,0.000723123578502436,0.0333652632795257
"pensylvanicus",45.4978037901841,83.2466379404962,0.00303860869749462,0.0408609606848924
"morrisoni",3.27583032991667,2.14815489994618,0.000318778076808904,0.000864754772828964
"vandykei",155.720772807759,7.12809542868786,0.0889774316406898,0.00222575893877098
"vosnesenskii",95.8089335872772,39.5696003424221,0.0908943111254587,0.0126113364226232
"impatiens",62.6114723550398,44.4907287944235,0.00474912472567892,0.0716188323470066
"auricomus",53.1165542990194,85.5116219975354,0.00043878133620956,0.0789124707836891
"bimaculatus",71.5540436127574,58.8781772425912,0.00160791385851998,0.0797532106176436
"huntii",61.4253613693807,7.64415721514055,0.00296037343974523,0.00275333169653818
"griseocollis",85.4943642184365,68.6526992034699,0.0315396169155047,0.0899717100067767
"fervidus",99.6513720633891,40.1979960959385,0.0535046815952597,0.037814588459367
"affinis",68.3434819013964,78.1555025731181,0.0026215250058872,0.228371326161035
"appositus",27.7463337992383,16.7852158216415,0.0262777100066134,0.0112043562491917
"citrinus",86.9081362266283,21.9458243535582,0.0058665897771785,0.029587612258866
"bifarius",11.4320347962561,21.5739262768197,0.0013828892328689,0.0100281352607135
"melanopygus",106.808437150386,38.4029374571087,0.111805345609705,0.063050527964452
"nevadensis",145.69734236122,20.3502715165179,0.157105386010785,0.00594757564150802
"vagans",80.818794019442,24.0065438577425,0.00252837321734218,0.028562986398775
"insularis",24.1776502164922,15.9290069702756,0.030193544790111,0.0120604248719253
"rufocinctus",82.0919028518372,24.2989341182022,0.00779430290023799,0.0306773699345022
"centralis",49.7226480466643,10.488729583156,0.00465378127990138,0.00481923287085556
"perplexus",59.6722772552183,19.9830639986,0.00184740204911003,0.0388563455089768
"ternarius",59.8411881405135,9.73354034881226,0.00414865568343489,0.0221038962730221
"terricola",70.7510828780514,13.0177694844568,0.00622793802632741,0.0160005084427193
"occidentalis",43.3554200405871,7.13714840025737,0.0172029777920677,0.00573738890824968
"flavifrons",46.7069876391646,19.9044146863209,0.00601199722566967,0.0143943428463515
"borealis",98.5472604661639,16.6382043629503,0,0.0078852317952548
"bohemicus",55.0284645040939,11.9454783010905,0.0133753538923577,0.000472824644164906
"mixtus",22.2340971444511,17.6619163032066,0.00422715772160464,0.0117130274393585
"sylvicola",13.8207057866268,14.5466132053688,0.00031759267644272,0.00663005193274991
"frigidus",0,2.31753544575214,0,0.00398208500312872
